timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent
2023-09-01T10:47:00.000Z,,,,sedentary,,,,5,,,
,,,,,,30048,87,,,,
,,,,,,30108,89,,,,
,,4788,4553.000,walking,321,30108,,2,,,
,,,,,,30228,87,,,,
2023-09-01T10:51:00.000Z,,,,sedentary,,,,5,,,
,,4795,4555.000,walking,321,30288,,1,,,
,,3223,1195.000,running,224,30348,,3,,,
,,,,,,30408,89,,,,
,,,,,,30468,85,,,,
,,4860,4582.000,walking,322,30528,,1,,,
,,,,,,30588,88,,,,
,,,,,,30648,84,,,,
,,,,,,30708,89,,,,
,,,,,,30768,87,,,,
,,,,,,30828,92,,,,
,,,,,,30948,89,,,,
,,,,,,31008,93,,,,
,,,,,,31068,83,,,,
,,,,,,31128,79,,,,
2023-09-01T11:06:00.000Z,,,,sedentary,,,,5,,,
,,,,,,31188,75,,,,
,,4877,4587.000,walking,322,31188,,2,,,
,,,,,,31248,80,,,,
,,,,,,31308,87,,,,
,,,,,,31368,93,,,,
2023-09-01T11:12:00.000Z,,,,sedentary,,,,5,,,
,,,,,,31548,94,,,,
,,4902,4595.000,walking,322,31548,,2,,,
,,,,,,31608,88,,,,
,,,,,,31668,77,,,,
,,,,,,31728,69,,,,
,,,,,,31788,68,,,,
2023-09-01T11:17:00.000Z,,,,sedentary,,,,4,,,
,,,,,,31848,70,,,,
2023-09-01T11:18:00.000Z,,,,sedentary,,,,0,,,
,,4915,4602.000,walking,322,31908,,0,,,
,,,,,,31968,80,,,,
,,,,,,32028,84,,,,
,,,,,,32088,85,,,,
2023-09-01T11:22:00.000Z,,,,sedentary,,,,6,,,
,,,,,,32148,86,,,,
,,4928,4605.000,walking,322,32148,,2,,,
,,,,,,32208,87,,,,
2023-09-01T11:24:00.000Z,,,,sedentary,,,,6,,,
,,,,,,32268,88,,,,
,,,,,,32328,89,,,,
,,,,,,32388,90,,,,
,,4976,4628.000,walking,323,32388,,1,,,
2023-09-01T11:28:00.000Z,,,,sedentary,,,,6,,,
,,,,,,32508,91,,,,
,,5011,4639.000,walking,323,32508,,3,,,
,,,,,,32628,92,,,,
2023-09-01T11:32:00.000Z,,,,sedentary,,,,6,,,
,,,,,,32748,93,,,,
,,5046,4650.000,walking,324,32748,,3,,,
,,,,,,32808,94,,,,
,,,,,,32868,95,,,,
,,,,,,32928,99,,,,
2023-09-01T11:36:00.000Z,,,,sedentary,,,,6,,,
,,,,,,32988,104,,,,
,,0,2155.000,generic,98,32988,,6,,,
,,,,,,33048,100,,,,
,,,,,,33108,97,,,,
,,5109,4704.000,walking,327,33108,,1,,,
,,,,,,33228,96,,,,
2023-09-01T11:41:00.000Z,,,,sedentary,,,,6,,,
,,,,,,33348,98,,,,
,,,,,,33408,99,,,,
,,5184,4734.000,walking,328,33408,,3,,,
,,,,,,33468,100,,,,
,,,,,,33528,99,,,,
2023-09-01T11:46:00.000Z,,,,sedentary,,,,6,,,
,,,,,,33588,97,,,,
,,,,,,33648,95,,,,
,,5247,4757.000,walking,329,33648,,4,,,
2023-09-01T11:52:00.000Z,,,,sedentary,,,,6,,,
,,5286,4772.000,walking,330,33948,,3,,,
,,,,,,34008,94,,,,
,,,,,,34068,97,,,,
,,,,,,34128,99,,,,
2023-09-01T11:56:00.000Z,,,,sedentary,,,,6,,,
,,,,,,34188,89,,,,
,,,,,,34248,96,,,,
,,5305,4801.000,walking,331,34248,,0,,,
,,,,,,34308,97,,,,
,,,,,,34368,95,,,,
,,,,,,34428,89,,,,
,,,,,,34488,94,,,,
2023-09-01T12:02:00.000Z,,,,sedentary,,,,5,,,
,,,,,,34548,93,,,,
,,5316,4805.000,walking,331,34548,,2,,,
,,,,,,34608,94,,,,
,,,,,,34668,99,,,,
,,,,,,34728,94,,,,
,,,,,,34788,91,,,,
,,,,,,34848,94,,,,
,,,,,,34908,95,,,,
,,,,,,34968,97,,,,
2023-09-01T12:10:00.000Z,,,,sedentary,,,,5,,,
,,,,,,35028,91,,,,
,,,,,,35088,94,,,,
,,5349,4813.000,walking,332,35088,,2,,,
,,,,,,35148,89,,,,
,,,,,,35208,96,,,,
,,,,,,35268,91,,,,
,,5425,4842.000,walking,333,35268,,2,,,
,,,,,,35328,90,,,,
,,,,,,35388,86,,,,
,,5454,4854.000,walking,333,35388,,1,,,
,,,,,,35448,90,,,,
,,,,,,35508,78,,,,
2023-09-01T12:19:00.000Z,,,,sedentary,,,,5,,,
,,,,,,35568,80,,,,
,,5469,4860.000,walking,333,35568,,1,,,
,,,,,,35628,72,,,,
,,,,,,35688,75,,,,
,,,,,,35748,81,,,,
,,,,,,35808,72,,,,
,,,,,,35868,62,,,,
,,,,,,35928,59,,,,
,,,,,,35988,63,,,,
2023-09-01T12:27:00.000Z,,,,sedentary,,,,4,,,
,,,,,,36048,71,,,,
,,,,,,36108,84,,,,
,,5490,4866.000,walking,333,36108,,2,,,
,,,,,,36168,76,,,,
,,,,,,36228,64,,,,
,,,,,,36288,71,,,,
,,,,,,36348,76,,,,
2023-09-01T12:33:00.000Z,,,,sedentary,,,,4,,,
,,,,,,36408,80,,,,
,,5509,4876.000,walking,334,36408,,1,,,
,,,,,,36468,89,,,,
,,,,,,36588,85,,,,
2023-09-01T12:37:00.000Z,,,,sedentary,,,,5,,,
,,,,,,36648,76,,,,
,,,,,,36708,90,,,,
,,5566,4899.000,walking,334,36708,,2,,,
,,,,,,36768,97,,,,
2023-09-01T12:40:00.000Z,,,,sedentary,,,,6,,,
,,,,,,36828,94,,,,
,,,,,,36888,93,,,,
,,,,,,37008,91,,,,
,,,,,,37068,90,,,,
,,5692,4943.000,walking,336,37068,,2,,,
,,,,,,37188,94,,,,
,,,,,,37248,93,,,,
,,,,,,37308,89,,,,
,,5751,4963.000,walking,337,37308,,2,,,
,,,,,,37368,81,,,,
,,,,,,37428,84,,,,
,,,,,,37488,80,,,,
2023-09-01T12:52:00.000Z,,,,sedentary,,,,5,,,
,,,,,,37548,76,,,,
,,,,,,37608,77,,,,
,,5784,4974.000,walking,337,37608,,2,,,
,,,,,,37668,78,,,,
,,,,,,37728,67,,,,
,,,,,,37788,70,,,,
,,,,,,37848,73,,,,
2023-09-01T12:58:00.000Z,,,,sedentary,,,,4,,,
,,,,,,37908,66,,,,
,,5811,4986.000,walking,337,37908,,2,,,
,,,,,,37968,67,,,,
2023-09-01T13:00:00.000Z,,,,sedentary,,,,5,,,
,,,,,,38028,80,,,,
,,,,,,38088,85,,,,
,,5857,5005.000,walking,337,38088,,3,,,
,,,,,,38148,80,,,,
,,,,,,38208,87,,,,
,,,,,,38268,85,,,,
,,,,,,38328,79,,,,
,,,,,,38388,68,,,,
,,,,,,38448,66,,,,
,,,,,,38508,68,,,,
2023-09-01T13:09:00.000Z,,,,sedentary,,,,3,,,
,,,,,,38568,69,,,,
2023-09-01T13:10:00.000Z,,,,sedentary,,,,0,,,
,,,,,,38628,65,,,,
2023-09-01T13:11:00.000Z,,,,sedentary,,,,2,,,
,,,,,,38688,76,,,,
,,5884,5019.000,walking,338,38688,,2,,,
,,,,,,38748,94,,,,
,,5893,5020.000,walking,338,38748,,2,,,
,,,,,,38808,96,,,,
,,,,,,38868,86,,,,
2023-09-01T13:15:00.000Z,,,,sedentary,,,,5,,,
,,5955,5038.000,walking,339,38928,,3,,,
,,,,,,38988,90,,,,
,,,,,,39108,82,,,,
,,,,,,39168,74,,,,
,,,,,,39288,75,,,,
,,,,,,39348,78,,,,
2023-09-01T13:23:00.000Z,,,,sedentary,,,,4,,,
,,,,,,39408,82,,,,
,,5978,5047.000,walking,339,39408,,2,,,
,,,,,,39468,97,,,,
,,,,,,39528,100,,,,
,,,,,,39588,82,,,,
2023-09-01T13:27:00.000Z,,,,sedentary,,,,5,,,
,,,,,,39648,81,,,,
,,,,,,39708,91,,,,
,,,,,,39768,86,,,,
,,6008,5055.000,walking,339,39768,,2,,,
,,,,,,39828,89,,,,
2023-09-01T13:31:00.000Z,,,,sedentary,,,,6,,,
,,,,,,39888,87,,,,
,,6031,5061.000,walking,340,39888,,5,,,
,,,,,,40008,86,,,,
,,,,,,40068,88,,,,
,,,,,,40128,90,,,,
2023-09-01T13:36:00.000Z,,,,sedentary,,,,6,,,
,,,,,,40188,89,,,,
,,6050,5069.000,walking,340,40188,,2,,,
,,,,,,40248,91,,,,
,,,,,,40308,98,,,,
,,,,,,40428,97,,,,
2023-09-01T13:41:00.000Z,,,,sedentary,,,,6,,,
,,,,,,40488,94,,,,
,,,,,,40548,96,,,,
,,,,,,40608,92,,,,
,,,,,,40668,91,,,,
,,6192,5131.000,walking,343,40668,,2,,,
,,,,,,40728,92,,,,
,,,,,,40788,91,,,,
2023-09-01T13:47:00.000Z,,,,sedentary,,,,7,,,
,,,,,,40848,90,,,,
,,,,,,40908,89,,,,
,,,,,,40968,96,,,,
,,,,,,41028,106,,,,
,,6315,5244.000,walking,350,41028,,1,,,
,,,,,,41088,104,,,,
,,0,2215.000,generic,101,41088,,7,,,
,,,,,,41148,102,,,,
,,6345,5286.000,walking,352,41148,,1,,,
,,0,2237.000,generic,103,41208,,6,,,
,,,,,,41268,83,,,,
,,,,,,41328,71,,,,
,,,,,,41388,70,,,,
,,,,,,41448,69,,,,
,,,,,,41568,66,,,,
,,,,,,41628,69,,,,
,,,,,,41688,75,,,,
,,,,,,41748,71,,,,
,,,,,,41808,75,,,,
,,,,,,41868,68,,,,
,,,,,,41928,76,,,,
,,,,,,41988,68,,,,
,,,,,,42048,69,,,,
2023-09-01T14:08:00.000Z,,,,sedentary,,,,3,,,
,,,,,,42168,68,,,,
,,,,,,42228,69,,,,
,,,,,,42288,68,,,,
2023-09-01T14:12:00.000Z,,,,sedentary,,,,0,,,
,,,,,,42348,71,,,,
2023-09-01T14:13:00.000Z,,,,sedentary,,,,1,,,
,,,,,,42408,67,,,,
,,,,,,42468,66,,,,
,,,,,,42528,64,,,,
,,,,,,42588,68,,,,
,,,,,,42648,65,,,,
2023-09-01T14:18:00.000Z,,,,sedentary,,,,0,,,
,,,,,,42708,64,,,,
,,,,,,42768,63,,,,
2023-09-01T14:20:00.000Z,,,,sedentary,,,,2,,,
,,,,,,42828,59,,,,
,,,,,,42888,60,,,,
,,,,,,42948,59,,,,
,,,,,,43068,61,,,,
,,,,,,43128,63,,,,
,,,,,,43188,61,,,,
,,,,,,43368,60,,,,
2023-09-01T14:30:00.000Z,,,,sedentary,,,,0,,,
,,,,,,43428,61,,,,
2023-09-01T14:31:00.000Z,,,,sedentary,,,,1,,,
,,,,,,43488,59,,,,
,,,,,,43608,58,,,,
,,,,,,43668,55,,,,
,,,,,,43728,56,,,,
2023-09-01T14:36:00.000Z,,,,sedentary,,,,0,,,
,,,,,,43788,60,,,,
,,,,,,43848,72,,,,
,,,,,,43908,70,,,,
,,,,,,43968,80,,,,
,,,,,,44028,86,,,,
2023-09-01T14:41:00.000Z,,,,sedentary,,,,5,,,
,,,,,,44088,95,,,,
,,,,,,44148,97,,,,
,,6399,5305.000,walking,353,44148,,2,,,
,,,,,,44208,92,,,,
,,,,,,44268,86,,,,
2023-09-01T14:45:00.000Z,,,,sedentary,,,,4,,,
,,,,,,44328,77,,,,
,,,,,,44388,88,,,,
