timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min
,,,,,,32928,57,,
,,,,,,32988,55,,
,,,,,,33048,58,,
,,,,,,33108,57,,
,,,,,,33168,55,,
,,,,,,33288,54,,
,,,,,,33348,55,,
,,,,,,33408,56,,
2021-12-03T08:03:00.000Z,,,,sedentary,,,,3,
,,,,,,33768,55,,
,,,,,,33828,56,,
2021-12-03T08:07:00.000Z,,,,sedentary,,,,4,
,,,,,,33888,55,,
2021-12-03T08:08:00.000Z,,,,sedentary,,,,0,
,,,,,,33948,51,,
,,,,,,34008,58,,
,,,,,,34068,57,,
,,,,,,34128,56,,
,,,,,,34188,55,,
,,,,,,34248,54,,
,,,,,,34308,53,,
,,,,,,34368,52,,
,,,,,,34428,57,,
2021-12-03T08:17:00.000Z,,,,sedentary,,,,4,
,,,,,,34488,54,,
,,,,,,34548,64,,
,,1163,2311.000,walking,36,34548,,2,
,,,,,,34608,63,,
,,,,,,34668,57,,
,,,,,,34728,49,,
,,,,,,34788,52,,
,,,,,,34848,53,,
,,,,,,34908,55,,
2021-12-03T08:25:00.000Z,,,,sedentary,,,,3,
,,,,,,34968,52,,
2021-12-03T08:26:00.000Z,,,,sedentary,,,,0,
,,,,,,35028,53,,
,,,,,,35148,52,,
,,,,,,35208,54,,
,,,,,,35388,52,,
,,,,,,35448,56,,
,,,,,,35508,52,,
,,,,,,35568,48,,
,,,,,,35688,47,,
2021-12-03T08:38:00.000Z,,,,sedentary,,,,3,
,,,,,,35748,45,,
2021-12-03T08:39:00.000Z,,,,sedentary,,,,0,
,,,,,,35808,46,,
,,,,,,35868,53,,
,,,,,,35928,59,,
,,,,,,35988,49,,
2021-12-03T08:43:00.000Z,,,,sedentary,,,,5,
,,,,,,36048,42,,
,,,,,,36108,40,,
2021-12-03T08:46:00.000Z,,,,sedentary,,,,0,
2021-12-03T08:47:00.000Z,,,,sedentary,,,,1,
,,,,,,36348,41,,
2021-12-03T08:50:00.000Z,,,,sedentary,,,,0,
,,,,,,36468,44,,
,,,,,,36528,47,,
,,,,,,36588,49,,
,,,,,,36708,52,,
,,,,,,36828,51,,
,,,,,,36888,47,,
2021-12-03T08:58:00.000Z,,,,sedentary,,,,4,
,,,,,,36948,43,,
2021-12-03T08:59:00.000Z,,,,sedentary,,,,0,
,,,,,,37008,42,,
,,,,,,37068,48,,
2021-12-03T09:01:00.000Z,,,,sedentary,,,,3,
,,,,,,37128,42,,
,,,,,,37188,46,,
2021-12-03T09:03:00.000Z,,,,sedentary,,,,0,
,,,,,,37248,47,,
2021-12-03T09:05:00.000Z,,,,sedentary,,,,0,
,,,,,,37428,49,,
2021-12-03T09:07:00.000Z,,,,sedentary,,,,2,
,,,,,,37488,48,,
2021-12-03T09:09:00.000Z,,,,sedentary,,,,0,
,,,,,,37608,49,,
2021-12-03T09:10:00.000Z,,,,sedentary,,,,4,
2021-12-03T09:11:00.000Z,,,,sedentary,,,,0,
,,,,,,37728,51,,
2021-12-03T09:12:00.000Z,,,,sedentary,,,,5,
,,,,,,37788,52,,
2021-12-03T09:13:00.000Z,,,,sedentary,,,,0,
,,,,,,37848,51,,
,,,,,,37908,49,,
,,,,,,37968,50,,
2021-12-03T09:16:00.000Z,,,,sedentary,,,,3,
,,,,,,38028,48,,
2021-12-03T09:17:00.000Z,,,,sedentary,,,,0,
,,,,,,38088,49,,
2021-12-03T09:18:00.000Z,,,,sedentary,,,,3,
,,,,,,38148,46,,
,,,,,,38208,48,,
2021-12-03T09:20:00.000Z,,,,sedentary,,,,0,
,,1179,2341.000,walking,36,38268,,2,
,,,,,,38328,61,,
,,,,,,38388,63,,
,,,,,,38448,73,,
,,,,,,38508,54,,
,,,,,,38568,43,,
,,,,,,38688,45,,
,,,,,,38748,47,,
,,,,,,38808,46,,
2021-12-03T09:31:00.000Z,,,,sedentary,,,,4,
,,,,,,38928,44,,
,,,,,,38988,43,,
,,,,,,39048,45,,
,,,,,,39108,44,,
,,,,,,39168,45,,
2021-12-03T09:36:00.000Z,,,,sedentary,,,,0,
,,,,,,39288,46,,
,,,,,,39348,44,,
,,,,,,39408,43,,
2021-12-03T09:41:00.000Z,,,,sedentary,,,,2,
2021-12-03T09:43:00.000Z,,,,sedentary,,,,0,
,,,,,,39648,46,,
,,,,,,39708,45,,
,,,,,,39768,48,,
,,,,,,39828,52,,
,,,,,,39888,51,,
,,,,,,39948,50,,
2021-12-03T09:49:00.000Z,,,,sedentary,,,,4,
,,,,,,40008,44,,
2021-12-03T09:50:00.000Z,,,,sedentary,,,,0,
,,,,,,40068,46,,
,,,,,,40128,44,,
,,,,,,40188,54,,
,,,,,,40248,61,,
,,,,,,40308,46,,
,,,,,,40368,48,,
,,,,,,40428,45,,
,,,,,,40488,53,,
2021-12-03T09:58:00.000Z,,,,sedentary,,,,4,
,,,,,,40548,49,,
2021-12-03T09:59:00.000Z,,,,sedentary,,,,0,
,,,,,,40608,48,,
,,,,,,40668,46,,
2021-12-03T10:01:00.000Z,,,,sedentary,,,,3,
,,,,,,40728,47,,
,,,,,,40788,46,,
2021-12-03T10:03:00.000Z,,,,sedentary,,,,0,
,,,,,,40908,48,,
,,,,,,40968,47,,
,,,,,,41088,51,,
2021-12-03T10:08:00.000Z,,,,sedentary,,,,3,
,,,,,,41208,70,,
,,,,,,41268,81,,
,,,,,,41328,74,,
,,,,,,41388,75,,
,,1258,2476.000,walking,37,41388,,2,
,,,,,,41448,66,,
,,,,,,41508,62,,
,,,,,,41568,47,,
,,,,,,41688,46,,
,,,,,,41748,48,,
,,,,,,41808,44,,
,,,,,,41868,48,,
,,,,,,41928,45,,
,,,,,,41988,48,,
,,,,,,42048,46,,
,,,,,,42108,44,,
,,,,,,42228,48,,
,,,,,,42288,52,,
,,,,,,42348,45,,
