timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent,moderate activity minutes
2022-07-25T05:13:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,55960,69,,,,,
,,,,,,56020,65,,,,,
,,,,,,56080,67,,,,,
2022-07-25T05:16:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,56140,65,,,,,
,,,,,,56200,66,,,,,
,,,,,,56320,67,,,,,
,,,,,,56380,69,,,,,
2022-07-25T05:21:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,56440,68,,,,,
2022-07-25T05:22:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,56500,69,,,,,
2022-07-25T05:23:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,56620,74,,,,,
2022-07-25T05:25:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,56680,69,,,,,
2022-07-25T05:26:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,56740,68,,,,,
2022-07-25T05:27:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,56800,81,,,,,
,,,,,,56860,99,,,,,
,,1836,1897.000,walking,115,56860,,3,,,,
,,,,,,56920,97,,,,,
,,,,,,56980,87,,,,,
2022-07-25T05:31:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,57040,79,,,,,
,,,,,,57100,89,,,,,
,,,,,,57124,,,,,3.434,
,,,,,,57160,95,,,,,
,,1916,1974.000,walking,118,57160,,1,,,,
,,,,,,57220,94,,,,,
,,,,,,57280,80,,,,,
2022-07-25T05:36:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,57340,66,,,,,
2022-07-25T05:37:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,57400,62,,,,,
,,,,,,57460,61,,,,,
,,,,,,57520,62,,,,,
,,,,,,57580,63,,,,,
2022-07-25T05:41:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,57640,64,,,,,
2022-07-25T05:42:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,57700,62,,,,,
,,,,,,57760,64,,,,,
2022-07-25T05:44:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,57820,85,,,,,
,,1946,1984.000,walking,118,57820,,3,,,,
,,,,,,57880,96,,,,,
,,,,,,57979,,,,2.222,,
,,,,,,58000,92,,,,,
,,2037,2018.000,walking,120,58000,,2,,,,
,,,,,,58060,113,,,,,
,,0,261.000,generic,13,58060,,5,,,,
,,,,,,58120,99,,,,,
,,,,,,58180,77,,,,,
,,,,,,58240,72,,,,,
,,,,,,58360,69,,,,,
,,,,,,58420,72,,,,,
,,,,,,58480,76,,,,,
,,,,,,58540,80,,,,,
,,,,,,58600,86,,,,,
,,,,,,58660,84,,,,,
,,,,,,58720,86,,,,,
,,,,,,58780,88,,,,,
2022-07-25T06:01:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,58840,85,,,,,
,,,,,,58900,92,,,,,
,,,,,,58960,89,,,,,
,,,,,,59020,76,,,,,
,,,,,,59200,70,,,,,
,,,,,,59260,68,,,,,
,,,,,,59320,71,,,,,
,,,,,,59380,76,,,,,
,,,,,,59440,74,,,,,
,,,,,,59500,71,,,,,
,,,,,,59560,80,,,,,
2022-07-25T06:14:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,59620,73,,,,,
,,,,,,59680,70,,,,,
2022-07-25T06:16:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,59740,69,,,,,
2022-07-25T06:20:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,59980,67,,,,,
2022-07-25T06:21:00.000Z,,,,sedentary,,,,0,,,,
2022-07-25T06:22:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,60100,76,,,,,
,,,,,,60160,69,,,,,
,,,,,,60220,65,,,,,
2022-07-25T06:25:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,60280,64,,,,,
2022-07-25T06:26:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,60340,67,,,,,
2022-07-25T06:27:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,60400,72,,,,,
2022-07-25T06:28:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,60460,76,,,,,
,,,,,,60520,99,,,,,
,,2164,2074.000,walking,123,60520,,3,,,,
,,,,,,60544,,,,,3.357,
,,,,,,60580,105,,,,,
,,2226,2134.000,walking,126,60580,,1,,,,
,,,,,,60640,103,,,,,
,,0,282.000,generic,14,60640,,6,,,,
,,,,,,60700,99,,,,,
,,,,,,60760,78,,,,,
,,,,,,60820,72,,,,,
,,,,,,60880,71,,,,,
,,,,,,60940,72,,,,,
,,,,,,61000,77,,,,,
,,,,,,61060,80,,,,,
,,,,,,61120,73,,,,,
,,,,,,61180,75,,,,,
,,,,,,61240,73,,,,,
,,,,,,61300,70,,,,,
,,,,,,61360,77,,,,,
2022-07-25T06:44:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,61420,74,,,,,
2022-07-25T06:45:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,61480,71,,,,,
,,,,,,61540,76,,,,,
,,,,,,61600,72,,,,,
,,,,,,61660,78,,,,,
,,,,,,61780,75,,,,,
,,,,,,61840,82,,,,,
2022-07-25T06:52:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,61900,75,,,,,
2022-07-25T06:53:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,61960,74,,,,,
,,,,,,62080,71,,,,,
2022-07-25T06:56:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,62140,73,,,,,
2022-07-25T06:57:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,62200,76,,,,,
,,,,,,62260,77,,,,,
,,,,,,62320,74,,,,,
,,,,,,62380,73,,,,,
2022-07-25T07:01:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,62440,78,,,,,
,,,,,,62500,71,,,,,
,,,,,,62560,73,,,,,
,,,,,,62620,77,,,,,
,,,,,,62680,84,,,,,
,,,,,,62740,78,,,,,
,,,,,,62800,73,,,,,
2022-07-25T07:08:00.000Z,,,,sedentary,,,,3,,,,
2022-07-25T07:09:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,62920,74,,,,,
,,,,,,62980,73,,,,,
