stress level value,stress level time
17,2024-05-09T05:14:00.000Z
13,2024-05-09T05:15:00.000Z
14,2024-05-09T05:16:00.000Z
16,2024-05-09T05:17:00.000Z
18,2024-05-09T05:18:00.000Z
12,2024-05-09T05:19:00.000Z
12,2024-05-09T05:20:00.000Z
13,2024-05-09T05:21:00.000Z
14,2024-05-09T05:22:00.000Z
14,2024-05-09T05:23:00.000Z
18,2024-05-09T05:24:00.000Z
14,2024-05-09T05:25:00.000Z
13,2024-05-09T05:26:00.000Z
17,2024-05-09T05:27:00.000Z
21,2024-05-09T05:28:00.000Z
14,2024-05-09T05:29:00.000Z
17,2024-05-09T05:30:00.000Z
20,2024-05-09T05:31:00.000Z
15,2024-05-09T05:32:00.000Z
18,2024-05-09T05:33:00.000Z
16,2024-05-09T05:34:00.000Z
14,2024-05-09T05:35:00.000Z
15,2024-05-09T05:36:00.000Z
15,2024-05-09T05:37:00.000Z
17,2024-05-09T05:38:00.000Z
18,2024-05-09T05:39:00.000Z
18,2024-05-09T05:40:00.000Z
21,2024-05-09T05:41:00.000Z
14,2024-05-09T05:42:00.000Z
14,2024-05-09T05:43:00.000Z
17,2024-05-09T05:44:00.000Z
19,2024-05-09T05:45:00.000Z
21,2024-05-09T05:46:00.000Z
23,2024-05-09T05:47:00.000Z
26,2024-05-09T05:48:00.000Z
21,2024-05-09T05:49:00.000Z
16,2024-05-09T05:50:00.000Z
20,2024-05-09T05:51:00.000Z
17,2024-05-09T05:52:00.000Z
28,2024-05-09T05:53:00.000Z
17,2024-05-09T05:54:00.000Z
18,2024-05-09T05:55:00.000Z
15,2024-05-09T05:56:00.000Z
18,2024-05-09T05:57:00.000Z
24,2024-05-09T05:58:00.000Z
20,2024-05-09T05:59:00.000Z
16,2024-05-09T06:00:00.000Z
30,2024-05-09T06:01:00.000Z
21,2024-05-09T06:02:00.000Z
17,2024-05-09T06:03:00.000Z
14,2024-05-09T06:04:00.000Z
24,2024-05-09T06:05:00.000Z
29,2024-05-09T06:06:00.000Z
19,2024-05-09T06:07:00.000Z
22,2024-05-09T06:08:00.000Z
21,2024-05-09T06:09:00.000Z
24,2024-05-09T06:10:00.000Z
29,2024-05-09T06:11:00.000Z
35,2024-05-09T06:12:00.000Z
21,2024-05-09T06:13:00.000Z
20,2024-05-09T06:14:00.000Z
17,2024-05-09T06:15:00.000Z
34,2024-05-09T06:16:00.000Z
21,2024-05-09T06:17:00.000Z
16,2024-05-09T06:18:00.000Z
21,2024-05-09T06:19:00.000Z
20,2024-05-09T06:20:00.000Z
25,2024-05-09T06:21:00.000Z
24,2024-05-09T06:22:00.000Z
27,2024-05-09T06:23:00.000Z
27,2024-05-09T06:24:00.000Z
24,2024-05-09T06:25:00.000Z
29,2024-05-09T06:26:00.000Z
16,2024-05-09T06:27:00.000Z
15,2024-05-09T06:28:00.000Z
30,2024-05-09T06:29:00.000Z
22,2024-05-09T06:30:00.000Z
26,2024-05-09T06:31:00.000Z
60,2024-05-09T06:32:00.000Z
71,2024-05-09T06:33:00.000Z
51,2024-05-09T06:34:00.000Z
54,2024-05-09T06:35:00.000Z
25,2024-05-09T06:36:00.000Z
24,2024-05-09T06:37:00.000Z
-1,2024-05-09T06:38:00.000Z
22,2024-05-09T06:39:00.000Z
27,2024-05-09T06:40:00.000Z
24,2024-05-09T06:41:00.000Z
22,2024-05-09T06:42:00.000Z
18,2024-05-09T06:43:00.000Z
23,2024-05-09T06:44:00.000Z
16,2024-05-09T06:45:00.000Z
16,2024-05-09T06:46:00.000Z
21,2024-05-09T06:47:00.000Z
25,2024-05-09T06:48:00.000Z
17,2024-05-09T06:49:00.000Z
17,2024-05-09T06:50:00.000Z
22,2024-05-09T06:51:00.000Z
18,2024-05-09T06:52:00.000Z
21,2024-05-09T06:53:00.000Z
31,2024-05-09T06:54:00.000Z
18,2024-05-09T06:55:00.000Z
13,2024-05-09T06:56:00.000Z
12,2024-05-09T06:57:00.000Z
10,2024-05-09T06:58:00.000Z
11,2024-05-09T06:59:00.000Z
15,2024-05-09T07:00:00.000Z
23,2024-05-09T07:01:00.000Z
60,2024-05-09T07:02:00.000Z
40,2024-05-09T07:03:00.000Z
45,2024-05-09T07:04:00.000Z
48,2024-05-09T07:05:00.000Z
31,2024-05-09T07:06:00.000Z
-1,2024-05-09T07:07:00.000Z
72,2024-05-09T07:08:00.000Z
51,2024-05-09T07:09:00.000Z
25,2024-05-09T07:10:00.000Z
21,2024-05-09T07:11:00.000Z
62,2024-05-09T07:12:00.000Z
24,2024-05-09T07:13:00.000Z
-2,2024-05-09T07:14:00.000Z
23,2024-05-09T07:15:00.000Z
-2,2024-05-09T07:16:00.000Z
-2,2024-05-09T07:17:00.000Z
-2,2024-05-09T07:18:00.000Z
-2,2024-05-09T07:19:00.000Z
-2,2024-05-09T07:20:00.000Z
-2,2024-05-09T07:21:00.000Z
-2,2024-05-09T07:22:00.000Z
-2,2024-05-09T07:23:00.000Z
78,2024-05-09T07:24:00.000Z
-2,2024-05-09T07:25:00.000Z
81,2024-05-09T07:26:00.000Z
-2,2024-05-09T07:27:00.000Z
-1,2024-05-09T07:28:00.000Z
-1,2024-05-09T07:29:00.000Z
-1,2024-05-09T07:30:00.000Z
-1,2024-05-09T07:31:00.000Z
-1,2024-05-09T07:32:00.000Z
-1,2024-05-09T07:33:00.000Z
-1,2024-05-09T07:34:00.000Z
-1,2024-05-09T07:35:00.000Z
-1,2024-05-09T07:36:00.000Z
-1,2024-05-09T07:37:00.000Z
-2,2024-05-09T07:38:00.000Z
75,2024-05-09T07:39:00.000Z
